What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you work in?,Which best describes the size of your company?,Which of the following best describes your occupation?,How likely is it that a recommendation you make will be acted upon?,What is your involvement in purchasing? You can choose more than 1.,What types of purchases are you involved in?,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2011?",What type of project are you developing?,Which languages are you proficient in?,What operating system do you use the most?,Please rate your job/career satisfaction,"Including bonus, what is your annual compensation in USD?",Which technology products do you own? (You can choose more than one),"In the last 12 months, how much money have you spent on personal technology-related purchases? ",Which of our sites do you frequent most?
Canada,,35-39,11,Healthcare,"Fortune 1000 (1,000+)",Server Programmer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,"nan, Python, C#, C++, C",Windows XP,I enjoy going to work,"$100,000 - $120,000","nan, Regular Mobile Phone, HDTV, Other netbook, PS3, Wii, Other gaming system",$251-$500,Stack Overflow
Central America,,,,,,,,nan,nan,nan,,nan,,,,nan,,
Mexico,,,,,,,,nan,nan,nan,,nan,,,,nan,,
United States of America,Ohio,30-34,41435,Software Products,Mature Small Business (25-100),Embedded Application Developer,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,Enterprise,"nan, JavaScript, CSS, Ruby, SQL, C#",Windows 7,FML,"$80,000 - $100,000","nan, Regular Mobile Phone, Xbox, Wii","$1,001-$2,000",Stack Overflow
Canada,,,,,,,,nan,nan,nan,,nan,,,,nan,,
Mexico,,,,,,,,nan,nan,nan,,nan,,,,nan,,
Other Europe,,30-34,41435,Finance / Banking,"Fortune 1000 (1,000+)",IT Staff / System Administrator,It's been known to happen,"nan, Recommender","nan, Software, Consultants","nan, Don't know",Other,"nan, rexx",Windows Vista,I enjoy going to work,"$60,000 - $80,000","iPhone, Xbox, Wii","$501-$1,000",Stack Overflow
Mexico,,,,,,,,nan,nan,nan,,nan,,,,nan,,
United States of America,Arizona,25-29,41310,Software Products,"Fortune 1000 (1,000+)",Desktop Application Developer,It's been known to happen,Influencer,"nan, Software","nan, Don't know",Other,"Java, PHP, SQL, C++, C",Windows 7,I enjoy going to work,,"nan, Regular Mobile Phone, HDTV, Xbox","$2,001-$3,000",Stack Overflow
United States of America,Pennsylvania,40-50,11,Healthcare,"Fortune 1000 (1,000+)",Manager of Developers or Team Leader,It's been known to happen,"nan, Recommender","nan, Software","nan, $10,001 - $25,000",Enterprise,"nan, SQL, C#, C++, C",Windows 7,,,nan,,
United States of America,Ohio,35-39,11,Finance / Banking,"Fortune 1000 (1,000+)",Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software, Consultants","nan, >$150,000",Web Platform,"Java, CSS",Windows XP,It pays the bills,"$60,000 - $80,000","nan, Android, HDTV",$251-$500,Stack Overflow
United States of America,New Jersey,35-39,41435,Manufacturing,,,,nan,nan,nan,,nan,,,,nan,,
United States of America,Arizona,20-24,41435,Other,Student,Student,It's been known to happen,"nan, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Other,"nan, C",Windows 7,It pays the bills,Student / Unemployed,"nan, Blu-Ray, HDTV, iPad",$100-$250,Super User
United States of America,Minnesota,30-34,41435,Manufacturing,Mid Sized (100-999),Embedded Application Developer,It's been known to happen,"Influencer, Recommender","Hardware, Software","nan, Don't know",Other,"nan, C#, Smalltalk, VBScript",Windows XP,So happy it hurts,"$60,000 - $80,000","nan, Regular Mobile Phone, HDTV, Wii",$100-$250,
United Kingdom,,35-39,11,Consulting,Mature Small Business (25-100),Server Programmer,It's been known to happen,"Influencer, Recommender","nan, Servers, Software","nan, Don't know",SaaS,"nan, SQL, C#, C++, C",Windows XP,I enjoy going to work,"$40,000 - $60,000","nan, Other Smart Phone, Kindle, Other netbook","$501-$1,000",Stack Overflow
United States of America,Maryland,40-50,11,Consulting,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"nan, Recommender","nan, Software","nan, Don't know",Enterprise,"nan, JavaScript, CSS, SQL, C#",Windows 7,It pays the bills,"$80,000 - $100,000","nan, Android, Kindle, Blu-Ray, HDTV, Xbox, Wii, slingbox",$100-$250,Stack Overflow
United States of America,California,25-29,41435,Software Products,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,Influencer,"Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, $10,001 - $25,000",Web Platform,"nan, JavaScript, CSS, SQL, C#",Windows 7,I enjoy going to work,"$40,000 - $60,000","nan, HDTV, iPad",$100-$250,Stack Overflow
United States of America,Tennessee,35-39,11,Finance / Banking,"Fortune 1000 (1,000+)",Systems Analyst,It's been known to happen,"Influencer, Recommender","nan, Software, Consultants","nan, Don't know",Enterprise,"Java, JavaScript, CSS, SQL, C#, C++",Windows XP,It pays the bills,"$60,000 - $80,000","nan, Regular Mobile Phone, Wii",$251-$500,Stack Overflow
United States of America,California,25-29,41310,Finance / Banking,Mid Sized (100-999),Web Application Developer,It's been known to happen,"Influencer, Recommender, Purchaser","nan, Software, User Equipment: Monitors, PCs, Laptops, Other","nan, Don't know",Web Platform,"Java, JavaScript, CSS, SQL, Perl",Mac OS X,I'm not happy in my job,"$80,000 - $100,000","nan, Android, Wii","$1,001-$2,000",Stack Overflow
United Kingdom,,30-34,11,Consulting,Start Up (1-25),Embedded Application Developer,I run this place,"Influencer, Recommender, Approver, Purchaser, Check Writer","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Other","nan, $10,001 - $25,000",Mobile,"nan, C, Perl",Mac OS X,I enjoy going to work,">$140,000","iPhone, Other Smart Phone, HDTV, iPad, Other netbook, Xbox","$1,001-$2,000",Stack Overflow
Russia,,20-24,11,Web Services,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,Web Platform,"nan, JavaScript, CSS, Ruby, Objective-C",Mac OS X,It pays the bills,"<$20,000","nan, Regular Mobile Phone, Xbox",<$100,Super User
Middle East,,35-39,41435,Software Products,"Fortune 1000 (1,000+)",Desktop Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software","nan, Don't know",Enterprise,"nan, JavaScript, C#, C++, Perl",Windows Vista,I enjoy going to work,"$80,000 - $100,000","nan, Regular Mobile Phone",<$100,Stack Overflow
United States of America,Kansas,25-29,11,Other,"Fortune 1000 (1,000+)",Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software","nan, Don't know",Enterprise,"nan, JavaScript, SQL, C#",Windows XP,I enjoy going to work,"$60,000 - $80,000","iPhone, Other Smart Phone, Kindle, Blu-Ray, HDTV, Other netbook, Xbox","$501-$1,000",Stack Overflow
United States of America,Louisiana,25-29,41435,Software Products,Mid Sized (100-999),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Software","nan, Don't know",Enterprise,"Java, CSS, SQL, C#",Mac OS X,I enjoy going to work,"$40,000 - $60,000","iPhone, Android, Kindle, Blu-Ray, HDTV, PS3, Xbox, Wii",">$3,000",Stack Overflow
United States of America,Michigan,30-34,41435,Manufacturing,Mid Sized (100-999),Web Application Developer,I run this place,"Influencer, Recommender","Hardware, Servers, Software, Consultants","<$10,000",Web Platform,"Java, SQL, C#, C++, C",Windows 7,So happy it hurts,"$100,000 - $120,000","nan, Android, iPad",<$100,None
United Kingdom,,30-34,11,Web Services,Start Up (1-25),Web Application Developer,It's been known to happen,Influencer,"nan, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Web Platform,"nan, JavaScript, CSS, PHP, SQL, C#",Windows XP,I enjoy going to work,"$20,000 - $40,000","iPhone, HDTV, Wii",$251-$500,Stack Overflow
United States of America,New Jersey,40-50,11,Consulting,"Other (not working, consultant, etc.)",Web Application Developer,Unless it's stoopid it gets done,"nan, Recommender","nan, Software","<$10,000",Web Platform,"nan, JavaScript, SQL, C#, VB.NET and proud of it",Windows 7,I enjoy going to work,">$140,000","nan, Android","$1,001-$2,000",Stack Overflow
United States of America,North Carolina,25-29,41435,Retail,Mid Sized (100-999),Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,SaaS,"Java, JavaScript, CSS, PHP, SQL, C++, C, Perl, coldfusion",Windows 7,It pays the bills,"$80,000 - $100,000","nan, Regular Mobile Phone, Blu-Ray, HDTV, PS3, Wii, Other gaming system","$1,001-$2,000",Meta Stack Overflow
Other Europe,,20-24,41435,Retail,Mature Small Business (25-100),Desktop Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender, Approver, Purchaser, I'm a Seller","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, $10,001 - $25,000",Enterprise,"nan, JavaScript, CSS, PHP, SQL, Perl, Delphi",Windows 7,It pays the bills,"<$20,000","nan, Android","$501-$1,000",Stack Overflow
Other Europe,,25-29,41435,Web Services,Start Up (1-25),Web Application Developer,Not in a million years,"nan, Purchaser","nan, Software","<$10,000",Web Platform,"nan, PHP",Windows 7,So happy it hurts,Student / Unemployed,nan,,Stack Overflow
Canada,,20-24,<2,Education,Student,Student,Not in a million years,"nan, No Involvement",nan,nan,,nan,,,,nan,,
United States of America,New Jersey,40-50,11,Advertising,Start Up (1-25),"Executive (VP of Eng, CTO, CIO, etc.)",I run this place,"Influencer, Recommender, Approver, Purchaser, Check Writer","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, $41,000 - $75,000",Web Platform,"nan, JavaScript, CSS, SQL, C#, C++, C, VB",Windows 7,I enjoy going to work,"$100,000 - $120,000","nan, Android, iPad, Wii","$1,001-$2,000",Stack Overflow
United States of America,Kansas,30-34,11,Finance / Banking,"Fortune 1000 (1,000+)",Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,"nan, CSS, SQL, C#",Windows 7,I enjoy going to work,,"nan, Android, Blu-Ray, HDTV, Other netbook, Wii","$1,001-$2,000",Stack Overflow
United States of America,Pennsylvania,< 20,41435,Software Products,Student,Student,It's been known to happen,"nan, No Involvement",nan,nan,Other,"Java, CSS, PHP, Python, SQL, C++, C",Windows 7,I enjoy going to work,Student / Unemployed,"nan, Other Smart Phone, Xbox","$1,001-$2,000",Stack Overflow
Germany,,25-29,11,Gaming,Student,Student,Unless it's stoopid it gets done,"nan, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Other,"Java, JavaScript, CSS, PHP, Python, SQL, C#, C++, C",Windows 7,It pays the bills,Student / Unemployed,"iPhone, Xbox","$1,001-$2,000",Stack Overflow
Canada,,40-50,11,Software Products,"Fortune 1000 (1,000+)",Server Programmer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,"Java, JavaScript, CSS, PHP, Python, SQL, C++, C, Perl",Windows XP,I enjoy going to work,"$100,000 - $120,000","nan, Regular Mobile Phone, Wii",$100-$250,Stack Overflow
Other Asia,,35-39,11,Web Services,Mid Sized (100-999),Manager of Developers or Team Leader,It's been known to happen,Influencer,"Hardware, Software","nan, Don't know",Web Platform,"Java, C#, C, COBOL",Windows XP,I enjoy going to work,,"nan, Regular Mobile Phone",$251-$500,Stack Overflow
Other Europe,,40-50,11,Software Products,Mature Small Business (25-100),Systems Analyst,Unless it's stoopid it gets done,Influencer,"nan, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, $25,001 - $40,000",Enterprise,"nan, Python, SQL, C#",Windows 7,I enjoy going to work,"$80,000 - $100,000","iPhone, HDTV, iPad, PS3, Xbox","$1,001-$2,000",Stack Overflow
India,,25-29,41435,Other,"Fortune 1000 (1,000+)",Server Programmer,It's been known to happen,"Influencer, Recommender","Hardware, Software","nan, Don't know",Enterprise,"Java, C++, C, Perl",Windows XP,I enjoy going to work,"$20,000 - $40,000","nan, Android, Regular Mobile Phone","$1,001-$2,000",Stack Overflow
Canada,,40-50,11,Software Products,Mature Small Business (25-100),Manager of Developers or Team Leader,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software, Consultants","<$10,000",Enterprise,"Java, JavaScript, Ruby, C++",Windows 7,I enjoy going to work,"$100,000 - $120,000","nan, Other Smart Phone, Blu-Ray, HDTV, Other netbook, Other gaming system","$2,001-$3,000",
Other Europe,,35-39,11,Other,"Fortune 1000 (1,000+)",Kernel / Driver Developer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, Don't know",Other,"Java, Python, Ruby, C++, C",Linux,It pays the bills,"$120,000 - $140,000","iPhone, Kindle, Wii","$501-$1,000",Stack Overflow
Middle East,,25-29,41310,Software Products,Student,Student,,"nan, No Involvement",nan,nan,Other,"Java, C#, C++, C, Perl",Windows 7,I enjoy going to work,,"nan, Regular Mobile Phone, Kindle, HDTV",$251-$500,Other
United States of America,Florida,25-29,41310,Other,"Fortune 1000 (1,000+)",Web Application Developer,It's been known to happen,"nan, Recommender","nan, Software","nan, Don't know",Enterprise,"Java, PHP, SQL, C#",Windows XP,I'm not happy in my job,"$60,000 - $80,000","nan, Android, HDTV",">$3,000",Stack Overflow
United States of America,Alaska,35-39,11,Other,Start Up (1-25),"Executive (VP of Eng, CTO, CIO, etc.)",I run this place,"nan, Approver, Purchaser, Check Writer","nan, Software, User Equipment: Monitors, PCs, Laptops, Other","<$10,000",Other,"nan, VB.NET",Windows 7,I enjoy going to work,"$60,000 - $80,000","nan, Blu-Ray, HDTV, Wii, Windows Phone 7",">$3,000",Stack Overflow
United States of America,Ohio,25-29,11,Foundation / Non-Profit,Mature Small Business (25-100),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Software, Consultants","nan, Don't know",Enterprise,"nan, JavaScript, CSS, PHP, SQL, C#",Windows 7,I enjoy going to work,"$40,000 - $60,000","nan, Regular Mobile Phone",$100-$250,Stack Overflow
Germany,,30-34,11,Other,Mature Small Business (25-100),Kernel / Driver Developer,It's been known to happen,"nan, Recommender","Hardware, Software","<$10,000",Other,"Java, C#, C++, C",Windows 7,I enjoy going to work,"$40,000 - $60,000","nan, Other netbook","$1,001-$2,000",Stack Overflow
South America,,30-34,41435,Consulting,"Other (not working, consultant, etc.)",Server Programmer,It's been known to happen,"Influencer, Recommender","nan, Software","nan, Don't know",Enterprise,Java,Linux,So happy it hurts,"$20,000 - $40,000","nan, Android","$1,001-$2,000",Stack Overflow
Africa,,30-34,11,Web Services,"Other (not working, consultant, etc.)",Web Application Developer,I run this place,"nan, Approver, Purchaser, Check Writer","Hardware, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Web Platform,"nan, JavaScript, CSS, PHP",Linux,I enjoy going to work,"$40,000 - $60,000","nan, Android, Other Smart Phone, Other netbook","$1,001-$2,000",Stack Overflow
United States of America,North Carolina,25-29,41310,Consulting,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software","nan, Don't know",Web Platform,"nan, JavaScript, CSS, PHP, SQL, C#",Windows 7,I enjoy going to work,,"iPhone, Android, Other Smart Phone, HDTV, iPad, Wii",">$3,000",Stack Overflow
United Kingdom,,20-24,41310,Foundation / Non-Profit,Mid Sized (100-999),Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Web Platform,"nan, JavaScript, CSS, SQL, C#",Windows 7,I enjoy going to work,"$40,000 - $60,000","nan, Android, Xbox",$100-$250,Stack Overflow
United States of America,Wisconsin,35-39,11,Finance / Banking,"Fortune 1000 (1,000+)",Web Application Developer,I run this place,"Influencer, Recommender","nan, Software","<$10,000",Web Platform,"nan, JavaScript, CSS, SQL, C#",Windows XP,So happy it hurts,"$80,000 - $100,000","nan, Other Smart Phone, Blu-Ray, Wii, Windows Phone 7","$1,001-$2,000",Super User
United States of America,Alaska,40-50,11,Other,Mid Sized (100-999),Other,It's been known to happen,"Influencer, Recommender, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants, Other","nan, $75,001 - $100,000",Other,"nan, SQL, C, Perl, VB",Windows XP,It pays the bills,"$80,000 - $100,000","nan, Blackberry, Kindle, Blu-Ray, HDTV",">$3,000",Meta Stack Overflow
United States of America,Michigan,30-34,41435,Other,Mid Sized (100-999),Desktop Application Developer,It's been known to happen,"Influencer, Recommender, No Involvement","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Enterprise,"nan, C#, C++, C",Windows 7,I enjoy going to work,"$80,000 - $100,000","nan, Android, Xbox, Wii","$1,001-$2,000",Stack Overflow
United States of America,New Jersey,30-34,11,Software Products,Start Up (1-25),Desktop Application Developer,I run this place,"Influencer, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Other,"nan, CSS, PHP, C#, VB.NET",Windows 7,So happy it hurts,"$80,000 - $100,000","iPhone, HDTV, Other netbook, Wii","$2,001-$3,000",Super User
United Kingdom,,30-34,41435,Web Services,Start Up (1-25),Web Application Developer,I run this place,"nan, Approver, Purchaser, Check Writer","Hardware, Software, User Equipment: Monitors, PCs, Laptops, Other","<$10,000",Web Platform,"nan, JavaScript, CSS, Python, HTML",Mac OS X,I enjoy going to work,"$40,000 - $60,000","iPhone, HDTV, AppleTV, iPad, Xbox","$1,001-$2,000",Stack Overflow
United States of America,Indiana,35-39,11,Manufacturing,"Fortune 1000 (1,000+)",IT Staff / System Administrator,It's been known to happen,"Influencer, Recommender","Hardware, Servers, Software","nan, >$150,000",Other,"nan, SQL, VB",Windows 7,It pays the bills,"$60,000 - $80,000","nan, Other Smart Phone, HDTV, Wii","$501-$1,000",Stack Overflow
